id,object_id,degree_type,subject,institution,graduated_at,created_at,updated_at
43,p:6660,MBA,,"University of California, Los Angeles (UCLA), Anderson School of",,2/27/2008 23:02,2/27/2008 23:02
44,p:6678,BS,Computer Engineering,University of Waterloo,1/1/1994,2/28/2008 4:44,6/27/2013 6:48
45,p:6700,BA,"Anthropology, English",Hunter College,1/1/2000,2/28/2008 21:15,2/28/2008 21:15
46,p:5058,BS,Boston College,Political Science & Economics,,2/28/2008 23:15,2/28/2008 23:15
47,p:2216,,Management Science,Stanford University,,2/28/2008 23:16,8/12/2013 6:04
48,p:2216,BS,Computer Science,Stanford University,,2/29/2008 0:46,2/29/2008 0:46
49,p:6729,BA (Hons) First Class,Media and Communication,University of Central England,1/1/1998,2/29/2008 8:09,2/29/2008 8:09
50,p:5918,BS,Organizational Leadership & Information Technology,Duquesne University,,2/29/2008 8:23,2/29/2008 8:23
51,p:5920,BS,Mathematics,SUNY/Buffalo,,3/1/2008 21:16,3/1/2008 21:16
52,p:5920,PhD,Computer Science,Northwestern University,,3/1/2008 21:16,3/1/2008 21:16
53,p:6135,BS,Physics,Tel Aviv University,1/1/1988,3/1/2008 21:23,3/1/2008 21:23
54,p:2371,BE,Electrical Engineering and Computer Science,"University of California, Berkeley",,3/1/2008 21:37,3/1/2008 21:37
55,p:2371,BA,Psychology,"University of California, Berkeley",,3/1/2008 21:37,3/1/2008 21:37
56,p:2279,BA,ISF,"University of California, Berkeley",1/1/1997,3/1/2008 21:53,8/14/2013 5:35
57,p:2834,BS,,Harvard University,,3/1/2008 21:55,3/1/2008 21:55
58,p:2834,MBA,,Havard Business School,,3/1/2008 21:55,3/1/2008 21:55
59,p:5547,BS,Political Science,University of Florida,1/1/1994,3/2/2008 9:35,3/2/2008 9:35
60,p:5547,MS,,University of Kentucky,1/1/1998,3/2/2008 9:35,3/2/2008 9:35
61,p:1434,BS,Computer Science,UNC - Chapel Hill,1/1/2004,3/3/2008 19:25,3/3/2008 19:25
62,p:3915,BA,Computer Science,Cornell University,1/1/2003,3/3/2008 19:25,3/3/2008 19:25
63,p:6202,BA,Physics,Gustavus Adolphus College,1/1/2005,3/3/2008 19:26,3/3/2008 19:26
64,p:6202,MS,Electrical Engineering,University of Minnesota,1/1/2007,3/3/2008 19:26,3/3/2008 19:26
65,p:5001,MBA,,"Northwestern University, Kellogg School of Management",1/1/2006,3/3/2008 19:28,3/3/2008 19:28
66,p:6135,MBA,,Executive MBA,1/1/1995,3/3/2008 19:31,3/3/2008 19:31
67,p:2209,BS,English: Professional Writing,Kutztown University,1/1/2003,3/3/2008 19:34,3/3/2008 19:34
68,p:3024,BS,Software Engineering,Auburn University,1/1/2004,3/3/2008 19:41,3/3/2008 19:41
