id,funding_round_id,object_id,funded_at,funding_round_type,funding_round_code,raised_amount_usd,raised_amount,raised_currency_code,pre_money_valuation_usd,pre_money_valuation,pre_money_currency_code,post_money_valuation_usd,post_money_valuation,post_money_currency_code,participants,is_first_round,is_last_round,source_url,source_description,created_by,created_at,updated_at
60,60,c:80,7/1/2006,series-c+,c,18000000,18000000,USD,0,0,,0,0,,4,0,0,http://www.prnewswire.co.uk/cgi/news/release?id=175526,,initial-importer,6/27/2007 10:39,4/27/2008 22:46
61,61,c:80,1/1/2005,series-a,a,8000000,8000000,USD,0,0,,0,0,,2,0,1,http://www.angelscorner.com/news.htm,,initial-importer,6/27/2007 10:43,4/27/2008 22:46
62,62,c:82,9/1/2006,series-a,a,1000000,1000000,USD,0,0,,0,0,,2,0,1,http://venturebeat.com/2006/09/25/digg-founders-launch-revision3-a-new-video-studio/,,initial-importer,6/28/2007 7:32,3/26/2013 23:05
63,63,c:82,6/1/2007,series-b,b,8000000,8000000,USD,0,0,,0,0,,1,1,0,http://goliath.ecnext.com/coms2/gi_0199-6665756/Revision3-Closes-8-Million-Series.html,,initial-importer,6/28/2007 7:33,3/26/2013 23:05
64,64,c:83,3/1/2006,series-a,a,0,0,,0,0,,0,0,,2,1,1,http://techcrunch.com/2006/03/06/allpeers-nails-series-a-funding/,AllPeers Nails Series A Funding,initial-importer,6/28/2007 7:55,3/6/2010 0:28
65,65,c:84,6/1/2006,series-a,a,5000000,5000000,USD,0,0,USD,0,0,USD,2,0,0,http://www.techcrunch.com/2006/08/02/kleiner-perkins-invested-in-aggregate-knowledge/,,initial-importer,6/28/2007 8:07,6/19/2013 11:16
66,66,c:84,4/1/2007,series-b,b,20000000,20000000,USD,0,0,USD,0,0,USD,2,0,0,http://www.techcrunch.com/2007/04/10/big-round-for-aggregate-knowledge/,,initial-importer,6/28/2007 8:20,6/19/2013 11:16
67,67,c:86,1/1/2007,series-a,a,13000000,13000000,USD,0,0,,0,0,,2,1,0,http://sanjose.bizjournals.com/sanjose/stories/2007/01/29/daily22.html,,initial-importer,6/28/2007 8:33,4/12/2010 2:11
68,68,c:87,1/1/2007,angel,angel,100000,100000,USD,0,0,,0,0,,0,1,1,http://blogs.business2.com/beta/2007/01/inside_the_suck.html#more,,initial-importer,6/28/2007 8:54,2/25/2008 0:24
69,69,c:89,12/1/2006,series-a,a,7000000,7000000,USD,0,0,,0,0,,2,1,1,http://www.spock.com/do/pages/pr_series_a,,initial-importer,6/28/2007 9:04,5/10/2008 17:30
70,70,c:90,1/1/2007,series-a,a,4000000,4000000,USD,0,0,,0,0,,2,0,1,http://www.techcrunch.com/2007/01/21/four-month-old-wize-gets-4-million/,,initial-importer,6/28/2007 9:10,3/12/2009 23:51
