id,entity_type,entity_id,parent_id,name,normalized_name,category_code,status,founded_at,closed_at,domain,homepage_url,twitter_username,short_description,description,overview,tag_list,country_code,state_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,created_by,created_at,updated_at,lifetime in year,current_unicorn,past_unicorn,is_unicorn,sucessfull
c:10022,Company,10022,,Fundable.com,fundable,finance,operating,5/22/2012 0:00,,fundable.com,https://www.fundable.com,Fundable,,Crowdfunding platform for small business,"Fundable is a crowdfunding site for startups.

Fundable's platform takes advantage of the new JOBS Act, also known as the ""Crowdfunding Bill,"" which now allows startup companies to publicly raise money from anyone willing to back them. In addition, Fundable makes investing more accessible, providing two ways for backers to support companiesthrough rewards or equity.

Backers earn rewards such as product pre-orders, unique gifts, or special incentives by the companies' founders in exchange for pledging capital. For larger investments, startups may also offer equity in their companies.","fundraising, social, community",USA,OH,Powell,Columbus,12/27/2012 0:00,9/24/2013 0:00,3,3,,,0,0,4/1/2012 0:00,12/11/2013 0:00,4,3,,8/25/2008 4:04,12/3/2013 12:43,1,,,0,0
c:100228,Company,100228,,iHireHelp,ihirehelp,education,operating,10/1/2010 0:00,,ihirehelp.com,http://www.iHireHelp.com,iHireHelp,,Tutor Student Match,"iHireHelp is a website that connects students and clients who want to learn and seek help from people (tutors, instructors, coaches, trainers..) and companies (learning centers, businesses..) who can offer help.

A key goal for iHireHelp is to help its user community find a best person or a company who can help them with their needs.

This site is absolutely free for clients who are seeking help and people / businesses who are offering help.

People and businesses that offer help on iHireHelp will get a free personal website that that they can customize to promote their own personal brand. The site also provided them with powerful tools that will help them easily manage their student, collect reviews and accept payments from clients.

iHireHelp provides great transparency to students and clients by offering them clear information about the helpers including client reviews, teacher recommendations, pricing information, location, teacher qualifications, their connection and much more.

iHireHelp has a social network of clients, students, tutors, instructors, coaches, trainers learning centers, businesses etc and allows everyone to link and connect to find new partners who have similar interests and goals. This network also allows people and businesses to exchange helpful resources related to any subject or service offered on this website.
","tutors, instuctors, coaches-and-learning-centers",USA,NJ,,New Jersey - Other,,,0,0,4/16/2011 0:00,4/16/2011 0:00,1,100000,10/1/2010 0:00,10/1/2010 0:00,1,0,ihirehelp,9/7/2011 2:57,11/10/2011 22:38,3,,,0,0
c:10024,Company,10024,,Floatopian,floatopian,mobile,operating,8/8/2008 0:00,,floatopian.com,http://floatopian.com,,,,"Floatopian is a developer of applications for the iPhone.  Quiztunes, the flagship application of Floatopian, is a game where the user hears a 20 second song clip and then must select the correct choice from a list of four similar artists.  ","iphone, iphone-application, game, music, pop-music",,,,unknown,,,0,0,,,0,0,,,0,2,,8/25/2008 5:49,9/6/2008 14:19,5,,,0,0
c:100268,Company,100268,,Limelight,limelight,mobile,operating,6/28/2011 0:00,,limelightapp.com,https://www.limelightapp.com,limelightapp,,App Marketing Site Platform,"Limelight provides a subscription service that allows app developers to creating app marketing sites or app landing pages. Main features include scraping existing descriptions and screenshots from the app store, multiple site templates, various layouts for different devices, send-to-phone links via SMS, varying product shot configurations, analytics, and third-party integrations.","apps, landing-pages, marketing, mobile, ios, iphone, ipad",,,,unknown,,,0,0,,,0,0,7/22/2011 0:00,5/14/2013 0:00,3,0,andrewculver,9/7/2011 3:30,9/24/2011 13:14,2,,,0,0
c:10027,Company,10027,,GazoPa,gazopa,games_video,operating,1/1/2008 0:00,,gazopa.com,http://www.gazopa.com,gazopa,,,"GazoPa is an image search engine by Hitachi that uses features from an image to search for and identify similar images. There are abundant quantities of images on the web, however many of these simply cannot be described by keywords, keywords are not sufficient as conditions for image searches. Since GazoPa uses image features such as a color or a shape to search other similar images, a vast range of images can be retrieved from the web. In addition to images found using keyword searches, GazoPa enables the use of users' own photos and drawings, and images found on the web, as search keys to locate similar images. GazoPa can support not only photo but also the search of video thumbnail. GazoPa lets users find favorite video from similarity of video thumbnail.","techcrunch50, tc50, search, image-search, video-search, visual-search, search-engine",JPN,,"Shinagawa-ku, Tokyo",Shinagawa-ku,,,0,0,,,0,0,10/27/2009 0:00,10/27/2009 0:00,1,1,,8/25/2008 9:31,6/28/2013 20:53,5,,,0,0
c:10028,Company,10028,,NewMarCom,newmarcom,consulting,operating,6/1/2008 0:00,,newmarcom.com,http://www.newmarcom.com,,,Marketing Consultants,NewMarCom provides strategic and marketing advise for online businesses. NewMarCom also has several independent business initiatives. NewMarCom's USP is technological knowledge and market intelligence and marketing know-how. This results in a more dynamic approach and creative solutions. ,strategy-marketing-communication-internet-online-netherlands-amsterdam-luc-van-poelje-newmarcom-investment-recruiting-jobboards-seo-sem-marketing,NLD,,Amsterdam,Amsterdam,,,0,0,,,0,0,,,0,0,,8/25/2008 9:48,5/12/2009 20:14,5,,,0,0
c:100301,Company,100301,,Minds,minds,network_hosting,operating,1/1/2011 0:00,,minds.org,http://www.minds.org,MINDSdotorg,,Universal Network,"MINDS (MINDS.ORG, INC.) is a Universal Network & Social Broadcasting Source where everyone votes on company evolution and has a featured voice.  We seek to link and stream live every person, business and nation on Earth and beyond online & offline.

Elements

Social-Business Network
Live Interactive Video Broadcasting Client
Video Conferencing, Recording & Streaming
Peer To Peer File Storage & Sharing
Web & Downloadable Apps
Intelligent Internet Search
E-Mail & Video Chat, IM
Events & Tickets
Location (GPS)
Cloud Hosting
Translations
Sharing
Voting
Advertise
Shopping
Mobile
","social-broadcast-network, social-network, social, business-network, live, interactive-video-broadcasting-client, video-conferencing, recording--streaming, peer-to-peer, file-storage, sharing, apps, intelligent-internet-search, e-mail, video-chat, im, even",USA,CT,Wilton,Wilton,,,0,0,,,0,0,,,0,0,minds,9/7/2011 4:04,9/24/2011 13:15,2,,,0,0
c:10039,Company,10039,,oooooc.com,oooooc,ecommerce,operating,1/1/2008 0:00,,oooooc.com,http://www.oooooc.com,,,Content & Services Marketplace,"OOOOOC.com Marketplace is ""A New eBay for Contents and Services""

OOOOOC.com Marketplace has moved to public beta. Helps its members sell any digital contents, such as files, secrets, tips, texts, documents, photos, audio, videos, urls, art, consultation sessions and services, treatments, ideas, legal forms, software, codes and songs.

oooooc.com, an Israeli-developed website, provides a marketplace for contents and services. The site offers a user-friendly, intuitive platform, with simple means to trade, affiliate and ask for digital goods, as well as interact with colleagues.

OOOOOC.com offers a solution for experts and authors around the globe, to promote themselves as paid professionals on any topic. By opening a free account, one can get a designed branded online shop, with virtual products, within a short time after registration.

The service enables users to ask for information or assistance from professionals and experts, or put their digital content into paid URLs (or ""lockers""), add a price-tag and offer it to the public as digital products. It allows one to share and embed widgets on other websites, thus bring thousands of customers, as well as to promote within the marketplace. A locker can then be accessed by whomever the URLs are shared with, after payment or watching ads.

""We believe in our vision to offer a new kind of eBay, for people who must sell contents and services,"" says founder Dr. Nadav Dafni.

Yossi Shalom, co-founder, admits ""With these easy means to monetize your know-how and expertise, new professionals and artists will invest more time and efforts on the Net.""

The website targeted for owners of online files on storage services such as divshare.com and box.net, for experts, artists, information technologists, business owners, creators, bloggers and Gurus.

On the public beta period, oooooc.com will use virtual money.

oooooc.com is a self-funded venture by a group of IT professionals who believe in giving new platforms for e-commerce. It is aimed at fulfilling the need of surfers to get help and information, and allowing experts to sell their expertise free of cost.

Media Contacts:
Dr. Nadav Dafni
OOOOOC.com
Tel. 972.50.20.22.101
nadav @ oooooc.com

Background Information - About the Team:
===============================
Dr. Nadav Dafni, also developed ""Stips"", Israel's number 1 experts website, the Hypeshow.com - video search engine and the Ckuik.com - video aggregator, musixcool.com and other Israeli web services and applications.

Yossi Shalom, is also CTO on ""Hook"", an Israeli social network.","ecommerce, e-commerce, marketplace, sell-online, trade, work-from-home, online-marketplace, guilds, shop, shops, build-your-shop, user-friendly-ui, ebay, ebay-like",ISR,,Tel Aviv,Tel Aviv,,,0,0,,,0,0,,,0,2,,8/25/2008 14:32,4/3/2009 18:13,5,,,0,0
c:10041,Company,10041,,Student Teacher Exchange,student teacher exchange,web,operating,6/1/2008 0:00,,studentteacherexchange.com,http://www.studentteacherexchange.com,,,Online Education Portal,"StudentTeacherExchange.com is a forum based website where students and (home)teachers from any and all languages/countries can meet. 

Teachers can present themselves for acceptation of students for online language learning for free. Online tools are provided for both parties.","e-learning, language, teacher, student, english, online",,,,unknown,,,0,0,,,0,0,,,0,0,,8/25/2008 14:57,5/12/2009 20:15,5,,,0,0
c:10048,Company,10048,,GigJunkie,gigjunkie,games_video,operating,4/1/2008 0:00,,gigjunkie.net,http://gigjunkie.net,GigJunkie,,UK Live Music Search,"GigJunkie is an website dedicated to gigs and the promotion of live music.

The two main aims of the site are:

* Creating definitive and independent gig listings
* Building a network of live music fans sharing their gig experiences

Definitive gig listings are achieved by pulling concert listings from all available sources in to one listing on GigJunkie. Through our own technology, and where necessary manual data entry, data is gathered from ticket agents (See, Ticketmaster, TicketWeb etc.), promoters (Live Nation, SJM, Metropolis etc.), major labels (EMI, Universal, Sony etc.) and other sources (local listings, MySpace, Facebook etc.). GigJunkie also lets users (fans/bands/promoters/venues) add gigs to the listings to promote them for free. This enables the live music fan to stay up to date on what's on.

The networking side of GigJunkie helps users build a profile of the bands they love and venues they often go to. GigJunkie can then automatically alert them by email and SMS as gigs are added so they don't miss out on anything. Users can buy tickets through GigJunkie at the same price as going direct to existing agents but without the hassle of searching all the different listing sites. Users can connect with fellow GigJunkies, invite each other to gigs, keep a diary of gigs they go to, post photos, write reviews and rate bands/venues etc. GigJunkie also gives users the chance to win loads of gig and festival tickets. GigJunkie's development is ongoing and there is lots more features coming to engage and entertain the users.

GigJunkie is target marketed to avid live music fans through street work and sponsorship presence at gigs and festivals, online activity and CPC advertising across a range of sites such as Google, MySpace, and Facebook etc. and affiliate marketing with carefully selected complimentary partners.","gig-tickets, buy-gig-tickets, gig-photos, gig-reviews, live-music-social-network, live-music-web2-0-website, gig-listings, live-music",GBR,,London,London,,,0,0,,,0,0,,,0,3,,8/25/2008 16:00,6/28/2013 20:53,5,,,0,0
